chr8	84699876	84800344	Nfix	0	-
chr16	23889573	23890958	Sst	0	-
chr1	43123074	43196984	Fhl2	0	-
chr4	82290173	82705750	Nfib	0	-
chr15	65787034	65873816	Efr3a	0	+
chr15	83604999	83725021	Scube1	0	-
chr6	23262773	23839421	Cadps2	0	-
chr10	24595442	24598683	Ccn2	0	+
chr12	25093799	25097140	Id2	0	-
chr13	13784059	13827896	Gng4	0	+
chr13	42052021	42192537	Hivep1	0	+
chr13	54071869	54108342	Sfxn1	0	+
chr13	54051183	54055705	Drd1	0	-
chr15	38933144	38952912	Baalc	0	+
chr15	41447482	41861048	Oxr1	0	+
chr17	31286792	31350739	Slc37a1	0	+
chr17	73493228	73710453	Galnt14	0	-
chr18	13687013	13972787	Zfp521	0	-
chr19	4125934	4132307	Tmem134	0	+
chr19	58235604	58455909	Gfra1	0	-
chr11	119538719	119547753	Nptx1	0	-
chr1	72857932	72874884	Igfbp5	0	-
chr2	29787493	29797935	Coq4	0	+
chr2	57106830	57124003	Nr4a2	0	-
chr2	129686565	129699844	Pdyn	0	-
chr3	32580332	32616585	Gnb4	0	-
chr4	134468320	134473843	Stmn1	0	+
chr4	131768457	131838288	Ptpru	0	-
chr7	67730160	67759742	Synm	0	-
chr7	112116017	112159057	Dkk3	0	-
chr9	86581371	86695953	Me1	0	-
chr9	121489824	121495694	Cck	0	-
chr9	104547286	105034544	Cpne4	0	+
chr1	75450436	75474343	Asic4	0	+
chr13	64736182	64903955	Cntnap3	0	-
chr2	61802930	61814114	Tbr1	0	+
chrX	93286445	93298357	Arx	0	+
chr2	29194541	29253005	Ntng2	0	-
chrX	49463945	49500244	Arhgap36	0	+
chr7	31042513	31051467	Fxyd7	0	-
chr2	148395344	148396767	Sstr4	0	+
chr15	54745702	54754039	Ccn3	0	+
chr6	55677822	55681263	Neurod6	0	-
chr11	98325415	98329648	Neurod2	0	-
chr1	56793981	56978650	Satb2	0	-
chr13	36725361	36735131	Nrn1	0	-
chr9	57599992	57606281	Cplx3	0	-
chr10	127525473	127534559	Nxph4	0	-
chr2	91927249	91928688	Chrm4	0	+
chr4	141858142	141874920	Efhd2	0	-
chr12	109452823	109463336	Dlk1	0	+
chr6	143828425	144781977	Sox5	0	-
chr1	135371057	135375237	Shisa4	0	-
chr13	116298281	116309689	Isl1	0	-
chr16	94748636	94997701	Kcnj6	0	-
chr4	35706647	36951747	Lingo2	0	-
chr7	121391859	121501770	Hs3st2	0	+
chr4	69925630	69926079	Gm11223	0	-
chr11	95509845	95514570	Nxph3	0	-
chr11	113619342	113626028	Sstr2	0	+
chr17	28896392	28915324	4930539E08Rik	0	-
chr3	19693401	19695396	Crh	0	-
chr10	19847916	19851459	Slc35d3	0	-
chr7	126847416	126852705	Doc2a	0	+
chr13	69702832	69739889	Ube2ql1	0	-
chr6	7554879	7565834	Tac1	0	+
chr15	3268547	3280508	Selenop	0	+
chr1	9601199	9627143	Vxn	0	+
chr7	45163949	45176142	Slc17a7	0	+
chr12	113418558	113422730	Ighm	0	-
chr3	108554338	108554751	Scarna2	0	-
