Gnai3	3.62366	3.62351
Pbsn	0	0
Cdc45	0.410244	0.368423
H19	0	0
Scml2	0.0565992	0.0637408
Apoh	0	0
Narf	6.14922	5.37211
Cav2	1.08062	0.712038
Klf6	3.23739	2.0098
Scmh1	10.8749	13.8535
Cox5a	2.1896	1.60718
Tbx2	0.00813332	0.0194411
Tbx4	0	0
Zfy2	0	0
Ngfr	0.562368	1.89833
Wnt3	0.0863017	0.0735756
Wnt9a	0.174209	0.102732
Fer	3.35068	3.96225
Xpo6	13.6925	13.7927
Tfe3	3.71426	4.24232
Axin2	4.50519	4.78592
Brat1	2.23037	1.98671
Gna12	4.37776	3.66662
Slc22a18	0	0
Itgb2l	0.011107	0.034883
Igsf5	0	0
Pih1d2	1.40052	1.22103
Dlat	19.2469	19.5831
Sdhd	24.3689	26.7393
Fgf23	0.0890297	0.0163939
Fgf6	0	0
Ccnd2	7.049	9.1735
Gpr107	2.41429	2.91778
Nalcn	20.7534	22.1553
Btbd17	0.837721	0.315529
Slfn4	0	0
Th	1.01736	2.09435
Ins2	0	0.21786
Scnn1g	0.0207222	0.0170014
Drp2	5.02304	5.2095
Tspan32	0.058981	0.00588335
Lhx2	0.424479	0.272193
Clec2g	0	0
Gmpr	7.27311	6.89476
Glra1	0.139129	0.527212
Mid2	7.52995	7.5542
Trim25	0.467854	0.528873
Dgke	18.1028	17.9663
Scpep1	2.47245	2.13833
Mnt	9.54133	8.22416
Itgb2	0	0.0568985
Hddc2	5.41466	4.22587
Tpd52l1	20.1819	24.1589
Pemt	0.118397	0.319197
Cdh1	0.0125474	0.0100861
Cdh4	7.01666	7.8213
Ckmt1	44.5265	45.5033
Bcl6b	0.0676416	0.0145881
Clec10a	0.0577912	0
Alox12	0.0283344	0.0107607
Arvcf	2.79894	2.93378
Comt	33.7506	37.2517
Rtca	15.9766	16.5401
Dbt	3.32248	3.58245
Dazap2	7.45495	6.88269
Mcts1	2.242	2.06547
Rem1	0.0267349	0.0187867
Rnf17	0.0906388	0.0696726
Trappc10	12.5225	12.428
Ccm2	9.34727	10.0758
Wap	0.0427486	0
Tbrg4	6.70155	8.59437
Tmprss2	0	0.0125408
Mx1	0.144014	0
Fap	0.0628844	0.0113665
Gcg	0	0.0346551
Ndufa9	32.043	32.8139
Egfl6	0.277388	0.179638
Lck	1.98501	1.13002
Tssk3	0.178723	0.0507325
Cttnbp2	44.9712	47.4367
Galnt1	3.54231	3.44897
Myf5	0	0
Mkrn2	4.05267	4.50565
Pparg	0.094425	0.120893
Raf1	11.0906	11.6994
Sept1	0.463494	0.545635
Pdgfb	1.37892	1.3869
Acvrl1	1.66892	1.68659
Grasp	35.952	40.4484
Acvr1b	12.0845	12.5549
Tom1l2	37.783	35.6926
Gpa33	0	0
Zfp385a	11.069	11.6122
Itga5	2.18952	2.56094
Gabra2	40.3818	41.2315
Wdr77	5.17051	5.08848
Adora3	0.0157715	0
Atp5f1	91.5691	99.7207
Sox9	0.662635	0.908707
Hnrnpd	138.225	147.187
Dynlt1c	0.165034	0.0756367
C1d	2.35855	2.95101
Gm2a	1.76818	1.52817
Krit1	3.20559	3.0992
Clcn4	49.5388	46.7753
Vmn2r88	0	0
Grm6	0	0.013469
Sema4f	5.24838	5.18224
Hk2	0.0445287	0.0387527
Myo18a	25.4115	23.6559
Sez6	450.744	516.213
Haao	0.068959	0.0544842
Cd52	0.380273	0.161073
Abhd15	0	0.0982081
Hoxb6	0	0
Loxl3	0.0493764	0.00824913
Tcl1b5	0	0
Btn1a1	0.0316794	0
Kat2b	1.88208	1.10702
Rab5b	15.7272	15.4236
Cryba1	0	0
Dnmt3l	0	0
Aire	0.0234462	0
Icosl	0.0476839	0.0208611
Spg7	7.68053	8.01223
Sult5a1	0	0
Rpl13	9.09406	9.14621
Chmp1a	9.71924	9.66771
Rpa1	10.5131	10.4701
Serpinf1	0.509527	1.77288
Tubgcp3	7.26301	7.7188
Oprm1	5.6277	6.40526
Polr3d	14.0943	13.386
Tcf7	2.37886	2.20386
Ddx3x	28.4469	27.5058
Il12rb1	0	0
Slc5a5	1.55364	0.900906
Kcnn3	12.4552	13.3155
Usp32	75.2975	63.2481
Car4	0.29694	0.518166
Txnrd3	23.4227	1.17529
Fasl	0	0
Zfp512b	14.0317	15.9727
Dnajc5	32.801	33.8347
Tpd52l2	6.58246	6.46372
Fmr1	18.7061	15.8745
Bcl11a	37.3224	38.3297
Il4	0.158577	0
Pxmp4	1.72934	1.95599
Dlg3	35.2034	38.1642
Gnb1l	0.598801	0.9609
Dbh	0	0
Mmp11	1.10817	0.464359
Smarcb1	35.5429	40.7625
Vpreb3	0	0.0591894
Hip1r	11.9639	13.1223
Nsun5	0.481895	0.530669
Top1mt	8.31876	8.60448
Hoxa10	0	0
Hoxa4	0	0
