chr4	125490700	125714173	Grik3	0	+
chr11	97923238	97986444	Plxdc1	0	-
chr10	75316877	75334784	Adora2a	0	+
chr14	32408203	32465989	Chat	0	-
chr17	54273590	54299034	Slc5a7	0	-
chr6	3685680	3764714	Calcr	0	-
chr1	87147655	87156521	Ecel1	0	-
chr3	36620482	36690167	Trpc3	0	-
chr3	61002795	61008982	P2ry1	0	+
chr4	135870918	135873850	Pnrc2	0	-
chr5	73006883	73012955	Slc10a4	0	+
chr7	116504369	116540584	Nucb2	0	+
chr9	49340627	49408177	Drd2	0	+
chr9	88327197	88372092	Nt5e	0	+
chr17	66666947	67354457	Ptprm	0	-
chr3	82092427	82145789	Gucy1a1	0	-
chr14	21052574	21448569	Adk	0	+
chr4	4133531	4138819	Penk	0	-
chr10	41069977	41072285	Gpr6	0	-
chr6	65671590	65712326	Ndnf	0	+
chr4	132110726	132144486	Oprd1	0	-
chr8	28646717	29219636	Unc5d	0	-
chr2	172036233	172043466	Cbln4	0	-
chr2	73271925	73284706	Sp9	0	+
chr3	34650405	34652461	Sox2	0	+
chr3	154306294	154330659	Lhx8	0	-
chr4	132104830	132109363	Gm37711	0	-
chr1	160576338	160577974	Gpr52	0	-
